Age,CompTotal
18-24 years old,2.0092425155716294e+48
25-34 years old,53091929241.72098
35-44 years old,516860406.50825554
45-54 years old,3811830.7476579025
55-64 years old,390154.4106364429
65 years or older,4.838709677419355e+54
Prefer not to say,23296279.789473683
Under 18 years old,742224.4230769231
